iter	Accuracy	Logloss
852	0.9197992018	0.2105870356
853	0.9198476777	0.2105365926
854	0.919879995	0.2105012853
855	0.9199123124	0.2104551239
856	0.9199607883	0.2104028935
857	0.9199500159	0.2103538033
858	0.9199984919	0.2103015565
859	0.9199823332	0.2102567534
860	0.9200308092	0.2102086781
861	0.920052354	0.2101645799
862	0.9200846714	0.2101147322
863	0.9201116025	0.2100761452
864	0.9201223749	0.2100238972
865	0.9201169887	0.2099721977
866	0.9201223749	0.209929577
867	0.9201923957	0.2098834985
868	0.9202031682	0.2098370028
869	0.9202031682	0.2097907441
870	0.9202031682	0.2097437342
871	0.9202354855	0.209700717
872	0.9202408717	0.2096499915
873	0.9202893477	0.2095952627
874	0.920321665	0.2095474097
875	0.9203270512	0.2095006475
876	0.9204078445	0.2094513497
877	0.9204132307	0.2094023951
878	0.9204617067	0.2093571374
